id,screen,element,english,evidence,source,note
FI-01,First launch — commander identity,Instruction,Your commander leads every operation. Choose your identity.,Preview,N1 / N2,Outside the 18 narrative-localized targets; still English after applying the configured Farsi locale. Role list covers all six authored portrait cards.
FI-02,First launch — commander identity,Portrait role labels and selected-profile role,RECON SPECIALIST; ASSAULT LEADER; INTEL OFFICER; FIELD COMMANDER; OPERATIONS LEAD; SUPPORT COMMANDER,Preview,N1 / N2,Outside the 18 narrative-localized targets; still English after applying the configured Farsi locale. Role list covers all six authored portrait cards.
FI-03,First launch — commander identity,Callsign rules,"3 - 12 characters, letters, numbers, hyphens only",Preview,N1 / N2,Outside the 18 narrative-localized targets; still English after applying the configured Farsi locale. Role list covers all six authored portrait cards.
FI-04,First launch — commander identity,Selected-profile heading,SELECTED PROFILE,Preview,N1 / N2,Outside the 18 narrative-localized targets; still English after applying the configured Farsi locale. Role list covers all six authored portrait cards.
FI-05,First launch — commander identity,Selected-profile description,Balanced leader with strong operational control.,Preview,N1 / N2,Outside the 18 narrative-localized targets; still English after applying the configured Farsi locale. Role list covers all six authored portrait cards.
FI-06,First launch — commander identity,Previous button,‹   PREV,Preview,N1 / N2,Outside the 18 narrative-localized targets; still English after applying the configured Farsi locale. Role list covers all six authored portrait cards.
FI-07,First launch — commander identity,Portrait names and selected-profile name,MIRA ALAVI; JALIL OKAFOR; SAMIRA KHALID; DALIA RAHIM; KENJI SATO; IRINA PETROVA,Review,N1 / N2,Visible Latin names in the Farsi component preview. Record for consistent name transliteration; this audit does not propose changing character identities. DALIA RAHIM repeats in the selected-profile panel.
FG-01,First launch — ARIA guidance choice,Eyebrow,FIRST-LAUNCH SETUP,Preview,N1 / N2,"Remains English in the localized component render. The main title, choice names and Continue button do translate; these surrounding fields do not. ON is the authored displayed state; OFF was not exercised."
FG-02,First launch — ARIA guidance choice,Full guidance description,"Complete support for
new commanders.",Preview,N1 / N2,"Remains English in the localized component render. The main title, choice names and Continue button do translate; these surrounding fields do not. ON is the authored displayed state; OFF was not exercised."
FG-03,First launch — ARIA guidance choice,Tactical hints description,"Helpful tips in key
situations.",Preview,N1 / N2,"Remains English in the localized component render. The main title, choice names and Continue button do translate; these surrounding fields do not. ON is the authored displayed state; OFF was not exercised."
FG-04,First launch — ARIA guidance choice,Minimal guidance description,"Only essential alerts.
Maximum challenge.",Preview,N1 / N2,"Remains English in the localized component render. The main title, choice names and Continue button do translate; these surrounding fields do not. ON is the authored displayed state; OFF was not exercised."
