mission_id,code,title,district_id,district,local_slot,family,scenario_id,operation_map_id,force_package,enemy_profile,hard_deadline_seconds,prerequisite,min_intel,canonical_seed,delivery_batch,brief,implementation_status,manual_acceptance,aria_win_acceptance,persistence_acceptance,device_acceptance,evidence_path
operation.o001,O001,Street Signals,district.operations.d01,Old Quarter,1,RECON,scenario.operations.o001,opmap.operations.old_quarter,FP_LIGHT,EP_CELL,720,Start: no mission prerequisite,0,1102,Vertical slice (also B12),Missions/D01_old_quarter.md#o001--street-signals,Authored,Pending,AriaWon,Pending,Pending,Design/AgentReports/Operations/host-aria-evidence/operation.o001/Regular/1102/
operation.o002,O002,Clinic Supply Route,district.operations.d01,Old Quarter,2,ESCORT,scenario.operations.o002,opmap.operations.old_quarter,FP_SERVICE,EP_RAIDERS,840,Start: no mission prerequisite,0,1103,Vertical slice (also B12),Missions/D01_old_quarter.md#o002--clinic-supply-route,Authored,Pending,AriaWon,Pending,Pending,Design/AgentReports/Operations/host-aria-evidence/operation.o002/Regular/1103/
operation.o003,O003,Courtyard Water Point,district.operations.d01,Old Quarter,3,REPAIR,scenario.operations.o003,opmap.operations.old_quarter,FP_SERVICE,EP_RAIDERS,900,Any attempt of local slot 1 or 2,0,1104,Vertical slice (also B12),Missions/D01_old_quarter.md#o003--courtyard-water-point,Authored,Pending,AriaWon,Pending,Pending,Design/AgentReports/Operations/host-aria-evidence/operation.o003/Regular/1104/
operation.o004,O004,The Quiet Archive,district.operations.d01,Old Quarter,4,RAID,scenario.operations.o004,opmap.operations.old_quarter,FP_LIGHT,EP_CELL,780,Any attempt of local slot 1 or 2,40,1105,B30,Missions/D01_old_quarter.md#o004--the-quiet-archive,Planned,Pending,Pending,Pending,Pending,
operation.o005,O005,Courtyard Evacuation,district.operations.d01,Old Quarter,5,RESCUE,scenario.operations.o005,opmap.operations.old_quarter,FP_SERVICE,EP_RAIDERS,900,Any attempt of local slot 1 or 2,0,1106,B30,Missions/D01_old_quarter.md#o005--courtyard-evacuation,Planned,Pending,Pending,Pending,Pending,
operation.o006,O006,Market Cell,district.operations.d01,Old Quarter,6,BREACH,scenario.operations.o006,opmap.operations.old_quarter,FP_GROUND,EP_RAIDERS,960,Two Victories among local slots 1â€“5,40,1107,B60,Missions/D01_old_quarter.md#o006--market-cell,Planned,Pending,Pending,Pending,Pending,
operation.o007,O007,Two-Lane Patrol,district.operations.d01,Old Quarter,7,PATROL,scenario.operations.o007,opmap.operations.old_quarter,FP_LIGHT,EP_CELL,720,Two Victories among local slots 1â€“5,0,1108,B60,Missions/D01_old_quarter.md#o007--two-lane-patrol,Planned,Pending,Pending,Pending,Pending,
operation.o008,O008,Courier Cutoff,district.operations.d01,Old Quarter,8,INTERDICT,scenario.operations.o008,opmap.operations.old_quarter,FP_GROUND,EP_RAIDERS,780,Two Victories among local slots 1â€“5,0,1109,B60,Missions/D01_old_quarter.md#o008--courier-cutoff,Planned,Pending,Pending,Pending,Pending,
operation.o009,O009,Clinic Under Pressure,district.operations.d01,Old Quarter,9,DEFENSE,scenario.operations.o009,opmap.operations.old_quarter,FP_GROUND,EP_RAIDERS,900,Two Victories among local slots 1â€“5,0,1110,B60,Missions/D01_old_quarter.md#o009--clinic-under-pressure,Planned,Pending,Pending,Pending,Pending,
operation.o010,O010,Old Quarter Reopened,district.operations.d01,Old Quarter,10,FINALE,scenario.operations.o010,opmap.operations.old_quarter,FP_COMBINED,EP_FINALE,1200,Victory O003/O006/O009,0,1111,B60,Missions/D01_old_quarter.md#o010--old-quarter-reopened,Planned,Pending,Pending,Pending,Pending,
